p_1_gender,p_1_age,p_1_fast_round_sum,p_1_play_sum_chosen,p_1_round_status,p_2_gender,p_2_age,p_2_fast_round_sum,p_2_play_sum_chosen,p_2_round_status,p_3_gender,p_3_age,p_3_fast_round_sum,p_3_play_sum_chosen,p_3_round_status,p_4_gender,p_4_age,p_4_fast_round_sum,p_4_play_sum_chosen,p_4_round_status,team_total_sum,question_answered,game_result,season,p_1_high,p_1_middle,p_1_low,p_1_neutral,p_2_high,p_2_middle,p_2_low,p_2_neutral,p_3_high,p_3_middle,p_3_low,p_3_neutral,p_4_high,p_4_middle,p_4_low,p_4_neutral
male,30,20000,20000,1,female,27,50000,50000,1,male,56,35000,35000,1,female,30,30000,30000,0,105000,19,0,1,0,3,0,0,1,2,0,0,1,2,0,0,0,2,1,0
male,45,35000,35000,1,female,67,30000,30000,0,female,30,20000,20000,1,male,33,50000,160000,1,215000,23,0,1,2,1,0,0,1,1,0,1,0,2,0,0,1,1,0,0
female,33,25000,25000,1,male,57,20000,20000,1,female,38,15000,15000,1,male,32,40000,140000,0,60000,23,0,1,3,0,0,0,0,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1
male,34,35000,35000,1,female,29,30000,30000,1,female,24,25000,25000,1,male,32,20000,90000,0,90000,24,1,1,1,2,0,0,3,0,0,0,3,0,0,0,-1,-1,-1,-1
male,50,30000,90000,0,female,38,35000,35000,1,female,31,35000,35000,1,male,30,25000,25000,0,70000,18,0,1,1,2,0,0,0,0,0,2,0,1,0,1,0,2,0,0
male,53,45000,45000,0,female,41,30000,9000,1,male,31,30000,150000,1,female,44,45000,45000,1,204000,19,0,1,1,2,0,0,0,2,0,0,1,0,1,0,-1,-1,-1,-1
female,26,40000,40000,1,male,31,15000,15000,1,female,22,30000,30000,0,male,40,50000,50000,1,105000,25,1,1,1,2,0,0,-1,-1,-1,-1,1,2,0,0,-1,-1,-1,-1
male,21,30000,30000,0,female,34,25000,25000,1,male,37,40000,40000,1,female,34,25000,110000,1,175000,19,0,1,3,0,0,0,0,2,0,0,2,0,0,0,-1,-1,-1,-1
male,38,30000,30000,1,male,56,35000,10000,1,female,27,25000,25000,1,female,39,20000,20000,1,85000,23,0,1,1,1,1,0,1,0,0,2,0,3,0,0,3,0,0,0
male,32,35000,35000,1,female,34,40000,40000,1,male,36,15000,145000,0,female,37,50000,50000,1,125000,19,0,1,1,2,0,0,1,0,0,2,2,0,0,0,0,2,0,0
female,38,40000,40000,0,male,37,10000,10000,1,female,29,30000,30000,1,male,35,55000,200000,1,240000,29,1,1,1,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0
female,67,40000,40000,1,male,42,35000,100000,0,female,32,35000,35000,0,male,30,40000,40000,1,80000,23,0,1,3,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0
male,29,30000,120000,0,female,38,15000,15000,0,male,55,30000,30000,1,female,40,30000,150000,1,180000,22,0,1,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
female,28,30000,30000,1,male,50,35000,35000,1,male,25,30000,30000,0,female,28,40000,40000,1,105000,18,0,1,1,2,0,0,3,0,0,0,0,2,0,0,1,1,0,0
male,34,30000,30000,1,female,31,35000,35000,1,female,28,5000,50000,0,male,51,30000,30000,1,95000,24,1,1,0,3,0,0,1,1,0,1,2,1,0,0,2,0,0,0
male,23,35000,35000,1,female,29,20000,20000,0,female,43,15000,90000,0,male,39,40000,40000,1,75000,21,0,1,1,2,0,0,1,1,0,1,0,0,0,2,0,1,0,0
female,31,30000,5000,1,male,55,20000,20000,1,male,37,20000,20000,0,female,62,40000,160000,1,185000,17,0,1,0,2,0,0,1,1,0,0,1,2,0,0,2,0,0,0
