,sex,sex_binary,age,age_group,player_number,first_player,second_player,third_player,fourth_player,encouragement_low,encouragement_middle,encouragement_high,encouragement_neutral,fast_round_sum,success_group,amount_chosen,risk,did_win
0,male,0,30,30,1,1,0,0,0,0.0,3,0,0,20000,15-25,20000,2,1
1,male,0,45,40,1,1,0,0,0,0.0,1,2,0,35000,35-45,35000,2,1
2,female,1,33,30,1,1,0,0,0,0.0,0,3,0,25000,25-35,25000,2,1
3,male,0,34,30,1,1,0,0,0,0.0,2,1,0,35000,35-45,35000,2,1
4,male,0,50,50,1,1,0,0,0,0.0,2,1,0,30000,25-35,90000,3,0
5,male,0,53,50,1,1,0,0,0,0.0,2,1,0,45000,45-55,45000,2,0
6,female,1,26,20,1,1,0,0,0,0.0,2,1,0,40000,35-45,40000,2,1
7,male,0,21,20,1,1,0,0,0,0.0,0,3,0,30000,25-35,30000,2,0
8,male,0,38,30,1,1,0,0,0,1.0,1,1,0,30000,25-35,30000,2,1
9,male,0,32,30,1,1,0,0,0,0.0,2,1,0,35000,35-45,35000,2,1
10,female,1,38,30,1,1,0,0,0,0.0,2,1,0,40000,35-45,40000,2,0
11,female,1,67,50,1,1,0,0,0,0.0,0,3,0,40000,35-45,40000,2,1
12,male,0,29,20,1,1,0,0,0,0.0,0,3,0,30000,25-35,120000,3,0
13,female,1,28,20,1,1,0,0,0,0.0,2,1,0,30000,25-35,30000,2,1
14,male,0,34,30,1,1,0,0,0,0.0,3,0,0,30000,25-35,30000,2,1
15,male,0,23,20,1,1,0,0,0,0.0,2,1,0,35000,35-45,35000,2,1
16,female,1,31,30,1,1,0,0,0,0.0,2,0,0,30000,25-35,5000,1,1
17,male,0,43,40,1,1,0,0,0,0.0,2,1,0,20000,15-25,20000,2,1
18,male,0,29,20,1,1,0,0,0,0.0,2,1,0,30000,25-35,30000,2,1
19,female,1,30,30,1,1,0,0,0,0.0,1,2,0,25000,25-35,25000,2,1
20,female,1,35,30,1,1,0,0,0,0.0,3,0,0,35000,35-45,35000,2,0
21,male,0,31,30,1,1,0,0,0,0.0,1,2,0,25000,25-35,90000,3,0
22,female,1,32,30,1,1,0,0,0,-1.0,-1,-1,-1,15000,15-25,15000,2,1
23,female,1,26,20,1,1,0,0,0,-1.0,-1,-1,-1,25000,25-35,25000,2,1
24,male,0,27,20,1,1,0,0,0,0.0,0,3,0,40000,35-45,120000,3,1
25,female,1,35,30,1,1,0,0,0,1.0,0,2,0,30000,25-35,5000,1,1
26,male,0,29,20,1,1,0,0,0,0.0,3,0,0,35000,35-45,35000,2,0
27,male,0,23,20,1,1,0,0,0,0.0,2,1,0,15000,15-25,15000,2,0
